,index,ask_1545,bid_1545,strike,option_type,trade_volume
0,0,1.25,1.1,2275.0,p,500
1,1,1.45,1.3,2300.0,p,500
2,2,1.75,1.6,2325.0,p,202
3,3,1.8,1.65,2330.0,p,6
4,4,1.95,1.8,2340.0,p,37
5,5,2.1,1.95,2350.0,p,4
6,6,2.7,2.55,2380.0,p,5
7,7,2.95,2.75,2390.0,p,17
8,8,3.1,2.9,2395.0,p,17
9,9,3.4,3.2,2405.0,p,32
10,10,3.6,3.4,2410.0,p,40
11,11,3.8,3.5,2415.0,p,20
12,12,4.0,3.7,2420.0,p,10
13,13,4.2,4.0,2425.0,p,2
14,14,4.4,4.2,2430.0,p,10
15,15,4.6,4.4,2435.0,p,85
16,16,5.5,5.3,2450.0,p,267
17,17,5.8,5.6,2455.0,p,85
18,18,6.2,5.9,2460.0,p,40
19,19,6.6,6.3,2465.0,p,40
20,20,7.0,6.8,2470.0,p,40
21,21,7.5,7.2,2475.0,p,11
22,22,8.0,7.7,2480.0,p,5
23,23,53.8,53.3,2490.0,c,1
24,24,9.2,8.9,2490.0,p,1
25,25,9.9,9.6,2495.0,p,4
26,26,49.5,49.0,2495.0,c,10
27,27,45.2,44.8,2500.0,c,6
28,28,10.5,10.4,2500.0,p,110
29,29,41.1,40.6,2505.0,c,18
30,30,12.4,12.1,2510.0,p,2
31,31,29.3,28.9,2520.0,c,16
32,32,14.7,14.4,2520.0,p,24
33,33,25.7,25.3,2525.0,c,7
34,34,22.3,21.9,2530.0,c,15
35,35,17.7,17.4,2530.0,p,22
36,36,19.1,18.7,2535.0,c,6
37,37,16.2,15.9,2540.0,c,8
38,38,21.7,21.3,2540.0,p,10
39,39,13.6,13.3,2545.0,c,47
40,40,11.3,11.0,2550.0,c,65
41,41,9.2,8.9,2555.0,c,155
42,42,7.5,7.2,2560.0,c,460
43,43,6.1,5.8,2565.0,c,14
44,44,4.9,4.6,2570.0,c,10
45,45,3.9,3.7,2575.0,c,123
46,46,3.2,3.0,2580.0,c,59
47,47,2.15,2.0,2590.0,c,4
48,48,1.55,1.4,2600.0,c,1
49,49,1.15,1.0,2610.0,c,11
50,50,0.9,0.75,2620.0,c,76
51,51,0.3,0.2,2675.0,c,5
